iter	Passed	Remaining
405	6676	3190
406	6692	3173
407	6708	3156
408	6724	3140
409	6739	3123
410	6756	3107
411	6772	3090
412	6788	3073
413	6804	3056
414	6820	3040
415	6836	3023
416	6853	3007
417	6868	2990
418	6884	2973
419	6900	2957
420	6916	2940
421	6932	2924
422	6947	2907
423	6963	2890
424	6978	2873
425	6993	2856
426	7009	2840
427	7025	2823
428	7040	2806
429	7057	2790
430	7072	2773
431	7089	2756
432	7104	2740
433	7120	2723
434	7136	2707
435	7153	2690
436	7169	2674
437	7185	2657
438	7201	2641
439	7217	2624
440	7233	2607
441	7249	2591
442	7265	2574
443	7281	2558
444	7296	2541
445	7313	2525
446	7328	2508
447	7344	2491
448	7360	2475
449	7375	2458
450	7391	2441
451	7406	2425
452	7421	2408
453	7436	2391
454	7452	2374
455	7467	2358
456	7483	2341
457	7500	2325
458	7515	2308
459	7531	2292
460	7547	2275
461	7565	2259
462	7581	2243
463	7597	2226
464	7614	2210
465	7632	2194
466	7647	2178
467	7664	2161
468	7680	2145
469	7695	2128
470	7712	2112
471	7728	2095
472	7744	2079
473	7760	2062
474	7776	2046
475	7791	2029
476	7807	2013
477	7823	1996
478	7841	1980
479	7857	1964
480	7872	1947
481	7888	1931
482	7903	1914
483	7919	1898
484	7935	1881
485	7950	1864
486	7967	1848
487	7983	1832
488	7999	1815
489	8015	1799
490	8032	1783
491	8048	1766
492	8063	1750
493	8079	1733
494	8095	1717
495	8111	1700
496	8129	1684
497	8145	1668
498	8160	1651
499	8176	1635
500	8192	1618
501	8209	1602
502	8224	1586
503	8240	1569
504	8256	1553
505	8273	1536
506	8289	1520
507	8305	1504
508	8320	1487
509	8336	1471
510	8353	1454
511	8369	1438
512	8385	1422
513	8402	1405
514	8418	1389
515	8434	1372
516	8449	1356
517	8465	1340
518	8480	1323
519	8497	1307
520	8512	1290
521	8529	1274
522	8545	1258
523	8561	1241
524	8579	1225
525	8595	1209
526	8610	1192
527	8626	1176
528	8642	1159
529	8659	1143
530	8674	1127
531	8690	1110
532	8707	1094
533	8722	1078
534	8738	1061
535	8753	1045
536	8769	1028
537	8786	1012
538	8802	996
539	8819	979
540	8835	963
541	8851	947
542	8868	930
543	8884	914
544	8900	898
545	8915	881
546	8931	865
547	8949	849
548	8966	832
549	8981	816
550	8997	800
551	9012	783
552	9028	767
553	9044	750
554	9060	734
555	9077	718
556	9094	702
557	9110	685
558	9127	669
559	9144	653
560	9160	636
561	9176	620
562	9193	604
563	9208	587
564	9224	571
565	9240	555
566	9256	538
567	9272	522
568	9288	506
569	9303	489
570	9319	473
571	9335	457
572	9351	440
573	9366	424
574	9383	407
575	9399	391
576	9415	375
577	9430	358
578	9446	342
579	9463	326
580	9479	310
581	9495	293
582	9510	277
583	9526	261
584	9544	244
585	9560	228
586	9577	212
587	9592	195
588	9608	179
589	9625	163
590	9642	146
591	9659	130
592	9675	114
593	9691	97
594	9707	81
595	9723	65
596	9739	48
597	9754	32
598	9770	16
599	9786	0
