iter	RMSE
495	24.5028782
496	24.49760334
497	24.49454504
498	24.49236472
499	24.48744521
500	24.48302852
501	24.47637923
502	24.47341762
503	24.4699158
504	24.4677239
505	24.46009695
506	24.45461981
507	24.45149204
508	24.44545064
509	24.43912717
510	24.4310239
511	24.42653104
512	24.421616
513	24.41713361
514	24.41291036
515	24.40892755
516	24.40393213
517	24.40057664
518	24.39726031
519	24.38981
520	24.38661922
521	24.37779454
522	24.3705163
523	24.36468078
524	24.3563531
525	24.35302049
526	24.34884239
527	24.34312792
528	24.33838348
529	24.33156007
530	24.32723888
531	24.32246658
532	24.31606097
533	24.3128224
534	24.30969684
535	24.30748459
536	24.30115186
537	24.29678784
538	24.29254659
539	24.28804753
540	24.28547571
541	24.28150707
542	24.27337929
543	24.26627772
544	24.26395584
545	24.26015187
546	24.2548531
547	24.24947856
548	24.24588211
549	24.24389082
550	24.24052506
551	24.23837541
552	24.23439829
553	24.23162215
554	24.22838125
555	24.22225098
556	24.21739523
557	24.21298833
558	24.20951944
559	24.20530159
560	24.2017727
561	24.1976543
562	24.19422192
563	24.19175656
564	24.18851781
565	24.18551829
566	24.18231063
567	24.18013476
568	24.17674033
569	24.17155235
570	24.1688797
571	24.16300438
572	24.16141819
573	24.15766738
574	24.15527349
575	24.15148159
576	24.14834296
577	24.14298325
578	24.13876503
579	24.13443645
580	24.1310191
581	24.12556955
582	24.12177823
583	24.1167428
584	24.10881855
585	24.10515292
586	24.09890659
587	24.09609055
588	24.08937928
589	24.08727369
590	24.08404044
591	24.07608285
592	24.07085584
593	24.06788289
594	24.06561415
595	24.06144292
596	24.0555563
597	24.05355904
598	24.04773106
599	24.04475477
